model	series	phaseIn	voltageIn	phaseOut	voltageOut	motorKW	ratedCurrentA	capacityKVA	successors	srcModel	srcSpec	note
FR-E720-0.1K	FR-E700	3	200	3	200	0.1			FR-E820-0.1K-1	BCN-C21002-214C		
FR-E720-0.2K	FR-E700	3	200	3	200	0.2			FR-E820-0.2K-1	BCN-C21002-214C		
FR-E720-0.4K	FR-E700	3	200	3	200	0.4			FR-E820-0.4K-1	BCN-C21002-214C		
FR-E720-0.75K	FR-E700	3	200	3	200	0.75			FR-E820-0.75K-1	BCN-C21002-214C		
FR-E720-1.5K	FR-E700	3	200	3	200	1.5			FR-E820-1.5K-1	BCN-C21002-214C		
FR-E720-2.2K	FR-E700	3	200	3	200	2.2			FR-E820-2.2K-1	BCN-C21002-214C		
FR-E720-3.7K	FR-E700	3	200	3	200	3.7			FR-E820-3.7K-1	BCN-C21002-214C		置換えに FR-E8AT03 が必要
FR-E720-5.5K	FR-E700	3	200	3	200	5.5			FR-E820-5.5K-1	BCN-C21002-214C		
FR-E720-7.5K	FR-E700	3	200	3	200	7.5			FR-E820-7.5K-1	BCN-C21002-214C		
FR-E720-11K	FR-E700	3	200	3	200	11			FR-E820-11K-1	BCN-C21002-214C		
FR-E720-15K	FR-E700	3	200	3	200	15			FR-E820-15K-1	BCN-C21002-214C		
